Variable,Summary,No heart disease,Heart disease,Missing n,p-value
Age (years),median [IQR],37.0 [29.0-46.8],55.0 [42.0-65.0],0,<0.001
Height (cm),median [IQR],157.0 [155.0-164.0],160.0 [154.0-166.0],66,0.021
Weight (kg),median [IQR],59.0 [53.0-66.2],68.0 [58.0-73.0],27,<0.001
Body mass index (kg/m2),median [IQR],23.4 [21.3-26.0],25.7 [23.7-27.6],91,<0.001
Total cholesterol (mg/dL),median [IQR],180.0 [161.2-197.0],229.0 [200.0-248.0],21,<0.001
Blood pressure (mmHg),median [IQR],115.0 [110.0-125.0],120.0 [100.0-130.0],11,0.004
Random blood sugar (mmol/L),median [IQR],5.7 [5.0-6.5],8.7 [6.5-12.2],20,<0.001
HDL cholesterol (mg/dL),median [IQR],48.0 [40.0-53.0],43.0 [38.0-49.0],44,<0.001
LDL cholesterol (mg/dL),median [IQR],94.0 [78.0-112.8],151.0 [128.0-171.5],46,<0.001
Triglycerides (mg/dL),median [IQR],119.0 [93.0-145.8],179.0 [152.0-213.0],50,<0.001
Maximum heart rate (bpm),median [IQR],177.9 [169.9-186.6],166.0 [158.3-176.1],0,<0.001
Haemoglobin (g/dL),median [IQR],13.9 [12.7-15.0],11.4 [9.5-13.2],50,<0.001
Creatinine (mg/dL),median [IQR],0.9 [0.8-1.0],1.2 [1.0-1.8],39,<0.001
Platelet count (/uL),median [IQR],282000.0 [237000.0-315750.0],265000.0 [220000.0-304250.0],73,0.001
Sodium (mmol/L),median [IQR],139.7 [138.0-141.6],138.0 [134.8-140.5],70,<0.001
Potassium (mmol/L),median [IQR],4.1 [3.8-4.4],4.1 [3.7-4.5],72,0.361
Chloride (mmol/L),median [IQR],100.7 [98.0-103.0],102.0 [98.8-104.6],78,<0.001
Troponin-I (ng/mL),median [IQR],2.0 [0.9-4.4],0.4 [0.1-3.6],46,<0.001
Family history of CVD = 1,n (%),80 (19.0%),280 (51.2%),68,<0.001
Hypertension = 1,n (%),71 (17.7%),236 (44.0%),97,<0.001
Diabetes mellitus = 1,n (%),50 (11.4%),247 (43.8%),34,<0.001
History of chest pain = 1,n (%),30 (6.8%),274 (48.7%),33,<0.001
Troponin-I above assay range = 1,n (%),0 (0.0%),16 (2.7%),0,0.001
Sex = M,n (%),247 (54.9%),361 (61.7%),0,0.032
