,|r| training partition,|r| full cohort,Difference
LDL cholesterol (mg/dL),0.6861,0.6771,0.009
Total cholesterol (mg/dL),0.6095,0.6047,0.0048
Triglycerides (mg/dL),0.5775,0.5691,0.0084
Haemoglobin (g/dL),0.5192,0.5217,0.0025
Age (years),0.4694,0.467,0.0024
Random blood sugar (mmol/L),0.4519,0.4466,0.0053
History of chest pain,0.4504,0.4515,0.0011
Maximum heart rate (bpm),0.4105,0.4095,0.001
Creatinine (mg/dL),0.3823,0.376,0.0063
Diabetes mellitus,0.3533,0.3513,0.0021
Family history of CVD,0.3418,0.3296,0.0122
Weight (kg),0.3049,0.3024,0.0025
Hypertension,0.2903,0.2781,0.0122
Body mass index (kg/m2),0.2799,0.2732,0.0067
Sodium (mmol/L),0.2625,0.2665,0.004
HDL cholesterol (mg/dL),0.2192,0.1867,0.0325
Chloride (mmol/L),0.1064,0.1041,0.0023
Troponin-I above assay range,0.1064,0.1099,0.0035
Height (cm),0.0788,0.072,0.0068
Blood pressure (mmHg),0.0619,0.0901,0.0282
Platelet count (/uL),0.0562,0.0794,0.0231
Troponin-I (ng/mL),0.0546,0.0692,0.0146
Potassium (mmol/L),0.0167,0.0283,0.0116
